SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),SICKLE CELL DISEASE - ACS MANAGEMENT,D57
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ACUTE BACTERIAL PROSTATITIS,N41.0
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),SYPHILIS,"A50, A51, A52, A53, N74.2"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),URETHRITIS & NONGONOCOCCAL URETHRIIS,N34.1
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS)-LONG-TERM ORAL ANTIBIOTIC TREATMENT,J47
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),PERICORONITIS,K04.4
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),OCULAR ROSACEA,"H10.8, L71"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),PAPULOPUSTULAR ROSACEA,L71
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),SINUSITIS,"J01, J32"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ORCHITIS AND EPIDIDYMITIS,N45
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ASTHMA,J45
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),COMMUNITY ACQUIRED PNEUMONEA,J18.9
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),HUMAN IMMUNODEFICIENCY VIRUS,B20
AZTREONAM,AZTREONAM 1G /VIAL FOR INJ (N),PNEUMONIA / SEPSIS / GRAM-NEGATIVE INFECTIONS,"J18, B99, A41"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - SHIGELLA INFECTIONS,"A04.9, A03"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - TYPHOID AND PARATYPHOID FEVERS,"A04.9, A01"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - VIBRIO CHOLERAE,"A04.9, A00"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT- ENTEROPATHOGENIC ESCHERICHIA COLI,"A04.9, A04.0"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),TRAVEL RELATED INFECTIONS-TREATMENT,"B06, B50, B51, B52, B53, B54, B55, B26, A00, A01.0, A39, A83.0, A95, A97, J09, J11, B34.2, B97.2, A35, A36, A37.0, A20, A92, A80, A27, A15, A16, A22"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),Septic Shock,"R57.2, R65.21"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - CAMPYLOBACTER INFECTIONS,"A04.9, A04.5"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),GRAFT VERSUS HOST DISEASE,D89.81
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),MUCOPURULENT CONJUCTIVITIS - GONOCOCCAL INFECTION OF THE EYE - CHLAMYDIAL CONJUNCTIVITIS,"H10.0, A54.31, A74.0"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),PHARYNGITIS,"J00, J02"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTERIAL TONSILLOPHARYNGITIS TREATMENT AND PREVENTION,"J03, J35.0"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),DENTAL ABSCESS,"K04.6, K04.7"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44.1
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),CYSTIC FIBROSIS,E84
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),OTITIS MEDIA,"H65, H66"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ENDOCARDITIS,I33.0
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),"PREVENTION AND CHEMOPROPHYLAXIS OF BACTERIAL MENINGITIS- MENINGITIS, MENINGOCOCCAL INFECTIONS PREVENTION (CHEMOPROPHYLAXIS)","A39, G00"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),BACTERIAL SKIN INFECTIONS - IMPETIGO AND ECTHYMA,"L01, L08"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),INFECTIOUS UVEITIS,B58.01
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),SICKLE CELL DISEASE - ACS MANAGEMENT,D57
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ACUTE BACTERIAL PROSTATITIS,N41.0
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),SYPHILIS,"A50, A51, A52, A53, N74.2"
